parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,parameter_8,parameter_9,parameter_10
1.4591345,-1.0820746,-2.1690102,-3.1067379,-2.4241943,-1.4007136,-0.26404485,-0.2484782,-0.35274297,0.6388993
0.9153557,-1.3697904,-2.1942225,-3.2712152,-1.6140746,-0.54738414,0.3677715,-0.6144004,-0.70859987,0.23293842
0.8425629,-1.4924724,-2.366647,-2.476303,-1.4320337,-0.2534139,0.6330976,-0.48494124,0.0084899785,0.54449284
1.0439142,-1.0661819,-2.0340364,-2.4917116,-1.632344,-0.6922319,0.4977925,-0.444637,-0.5294948,0.78087234
0.33763844,-0.88486016,-1.8267831,-1.7767859,-0.9878346,-0.3255373,0.033223026,-0.087316126,0.12379311,0.24035633
0.62462854,-1.2054874,-2.1571627,-1.9328253,-1.8000894,-0.22730772,0.20688245,0.049264688,0.08314577,0.88794696
0.6363136,-0.7523683,-1.6578981,-1.8826075,-1.2303369,-0.1375427,0.26345152,-0.438233,-0.37165183,0.5174806
0.17301077,-1.3377035,-2.304814,-2.4011195,-1.878844,-0.7414033,0.2053487,-0.78066343,-0.25079346,1.016258
0.8640539,-0.8451649,-1.9558291,-2.2254925,-1.2694527,-0.5478024,0.38001317,-0.14752117,0.31253922,0.19612616
0.13947144,-1.0953975,-2.5182724,-2.5002298,-1.5289704,-0.6439852,0.12911913,-0.40804914,-0.64863694,0.43481693
0.5171057,-1.4462893,-2.4546013,-2.3601563,-1.5321988,-0.5176293,0.017842138,0.023411129,-0.02229303,0.4873691
0.5258108,-1.7665948,-2.4854968,-2.7275765,-1.8476704,-0.6636562,0.28415173,-0.44998458,-0.24988195,0.38860345
1.5848382,-1.7990333,-3.1554122,-3.0753732,-2.4755828,-0.64164674,-0.0180978,-0.5707416,-0.25545296,0.5522172
1.170678,-0.9361461,-2.6552217,-2.5791242,-1.2142535,0.11029966,0.11034315,-0.5171974,-0.23931478,0.5540386
0.8009371,-1.2554824,-2.4450896,-3.006604,-1.5947213,-0.6948383,0.23260002,-0.25788304,0.12581854,0.41126528
1.256135,-0.7414098,-1.899547,-2.3999898,-1.7211837,-0.4694571,0.42245072,0.34512413,-0.551532,0.23199077
